NI RH RM RS V DG DM DS
713 1 55 22 - 9 5 0
714 1 53 30 + 36 13 17
715 1 53 12 - 12 52 24
716 1 52 60 + 12 42 30
717 1 53 55 + 36 13 47
718 1 53 13 + 4 11 44
719 1 53 39 + 19 50 27
720 1 53 0 - 13 44 19
721 1 54 45 + 39 22 59
722 1 54 47 + 20 41 54
723 1 53 46 - 23 45 26
724 1 53 46 - 23 45 26
725 1 52 35 - 16 31 3
726 1 55 32 - 10 47 58
727 1 53 49 - 35 51 21
728 1 55 2 + 4 13 22
729 1 53 49 - 35 51 21
730 1 55 18 + 5 38 9
731 1 54 56 - 9 0 41
732 1 56 28 + 36 48 8
733 1 56 34 + 33 3 21
734 1 53 29 - 16 59 44
735 1 56 38 + 34 10 39
736 1 56 41 + 33 2 40
737 1 56 41 + 33 2 59
738 1 56 46 + 33 3 32
739 1 56 55 + 33 16 2
740 1 56 55 + 33 0 56
741 1 56 21 + 5 37 43
742 1 56 24 + 5 37 33
743 1 58 37 + 60 10 0
744 1 58 33 + 55 28 24
745 1 54 8 - 56 41 37
745 1 54 11 - 56 41 7
745 1 54 8 - 56 41 15
746 1 57 51 + 44 55 6
747 1 57 30 - 9 27 46
748 1 56 22 - 4 28 2
749 1 55 41 - 29 55 20
750 1 57 33 + 33 12 35
751 1 57 33 + 33 12 9
752 1 57 35 + 37 50 0
753 1 57 42 + 35 54 57
754 1 54 21 - 56 45 40
755 1 56 23 - 9 3 45
756 1 54 29 - 16 42 27
757 1 54 56 - 9 0 41
758 1 55 42 - 3 3 58
759 1 57 50 + 36 20 35
760 1 57 47 + 33 21 19
761 1 57 50 + 33 22 35
762 1 56 58 - 5 24 8
763 1 56 23 - 9 3 45
764 1 57 3 - 16 3 41
765 1 58 48 + 24 53 32
766 1 58 42 + 8 20 50
767 1 58 51 - 9 35 14
768 1 58 41 + 0 31 44
769 1 59 36 + 30 54 35
770 1 59 14 + 18 57 18
771 2 3 26 + 72 25 19
772 1 59 20 + 19 0 27
773 1 58 52 - 11 30 55
774 1 59 35 + 14 0 30
775 1 58 33 - 26 17 38
776 1 59 55 + 23 38 39
777 2 0 15 + 31 25 47
778 2 0 19 + 31 18 47
779 1 59 43 - 5 57 51
780 2 0 35 + 28 13 33
781 2 0 9 + 12 39 20
782 1 57 40 - 57 47 27
783 2 1 7 + 31 52 55
784 2 1 17 + 28 50 17
785 2 1 40 + 31 49 36
786 2 1 25 + 15 38 46
787 2 0 49 - 9 0 9
