NI RH RM RS V DG DM DS
477 7 52 7 + 23 29 1
478 7 53 42 + 26 29 32
479 7 54 22 + 27 0 26
480 7 55 23 + 26 44 32
481 7 59 3 + 24 9 37
482 7 59 47 + 25 21 22
483 7 59 52 + 25 55 30
484 8 0 1 + 26 39 57
485 8 0 20 + 26 42 6
486 8 0 21 + 26 36 48
487 7 59 7 - 0 38 15
488 8 0 50 + 25 54 10
489 8 1 38 + 25 59 48
490 8 3 20 + 25 48 40
491 8 3 55 + 26 31 10
492 8 5 38 + 26 10 3
493 8 7 28 + 25 8 1
494 8 6 24 + 1 2 12
495 8 8 19 + 9 0 52
496 8 9 44 + 25 52 52
497 8 10 6 + 24 55 20
498 8 9 30 + 5 16 50
499 8 45 17 + 85 44 26
500 8 12 40 - 16 3 4
501 8 18 48 + 24 32 16
501 8 18 48 + 24 32 14
502 8 22 4 + 8 45 11
503 8 22 11 + 3 16 7
504 8 22 41 + 4 15 43
505 8 23 22 + 4 22 23
506 8 23 31 + 4 18 1
507 8 25 2 - 0 35 28
508 8 28 22 + 25 7 28
509 8 32 4 + 24 0 37
510 8 32 11 - 2 9 44
511 8 40 50 + 73 29 12
512 9 3 49 + 85 30 6
513 8 33 5 - 12 21 18
514 8 35 22 - 2 2 49
515 8 35 31 - 1 54 2
516 8 35 51 - 1 52 16
517 8 36 22 - 2 3 20
518 8 36 7 + 0 41 36
519 8 40 34 + 2 36 43
520 8 53 42 + 73 29 27
521 8 46 44 + 2 32 18
522 8 54 35 + 57 10 0
523 8 53 11 + 9 8 54
524 8 58 13 - 19 11 29
525 9 1 23 - 1 51 11
526 9 2 41 + 10 50 32
527 9 9 42 + 37 36 7
528 9 9 23 + 15 47 45
529 9 18 33 + 73 45 35
530 9 15 17 + 11 53 10
531 9 17 51 - 0 16 41
532 9 19 3 - 16 45 18
533 9 20 23 - 3 59 29
534 9 21 16 + 3 9 1
535 9 22 16 - 1 2 24
536 9 24 40 + 25 6 37
537 9 25 23 - 12 23 28
538 9 27 18 + 23 1 12
539 9 29 8 - 2 32 56
540 9 30 10 + 7 54 5
541 9 30 30 - 4 15 0
542 9 31 6 - 13 10 52
543 9 31 9 - 14 46 24
544 9 35 53 + 24 53 34
545 9 36 5 + 24 56 51
546 9 34 50 - 16 23 4
547 9 36 6 - 12 26 12
548 9 38 19 + 9 26 46
549 9 40 43 + 3 57 32
550 9 40 29 - 6 56 45
551 9 41 0 + 6 56 12
552 9 41 17 + 10 38 50
553 9 40 45 - 5 26 7
554 9 41 57 + 12 17 47
555 9 41 57 + 12 17 47
556 9 43 40 + 11 3 41
557 9 44 3 + 10 59 19
558 9 45 0 + 29 27 10
559 9 44 44 + 9 36 57
560 9 45 53 - 0 16 6
561 9 45 59 + 3 8 42
562 9 46 4 - 3 58 19
563 9 46 20 + 3 2 46
564 9 46 21 + 3 4 16
565 9 47 50 + 15 51 5
566 9 49 56 - 0 13 51
567 9 50 34 + 12 47 8
568 9 51 8 + 15 43 50
569 9 51 28 + 10 55 14
570 9 51 51 + 15 45 22
571 9 52 32 + 15 46 31
572 9 52 33 + 15 49 39
573 9 53 36 - 12 28 56
574 9 54 27 - 6 57 10
575 9 54 33 - 6 51 26
576 9 55 7 + 11 2 24
577 9 56 4 + 10 29 56
578 9 56 16 + 10 29 11
579 9 56 39 - 13 46 28
580 9 57 57 + 10 25 58
581 9 58 12 + 15 56 51
582 9 59 0 + 17 49 1
583 9 59 5 + 17 49 16
584 9 59 5 + 10 21 40
585 9 59 44 + 12 59 21
586 9 59 50 - 6 55 20
587 10 3 5 - 2 23 59
588 10 2 7 + 3 3 30
589 10 4 24 - 5 40 42
590 10 5 50 + 0 37 59
590 10 5 50 + 0 37 54
591 10 7 28 + 12 16 27
592 10 7 59 - 2 29 56
593 10 8 18 - 2 31 36
594 10 8 32 - 0 39 58
595 10 9 38 + 11 0 3
596 10 10 31 + 10 2 30
597 10 10 12 - 6 53 55
598 10 12 49 + 43 8 44
599 10 13 12 - 5 37 44
600 10 17 11 - 3 29 50
601 10 18 15 + 7 2 21
602 10 18 20 + 7 2 57
603 10 19 25 - 5 39 22
604 10 23 45 + 57 1 36
605 10 22 24 + 1 11 56
606 10 23 33 + 10 57 35
607 10 24 9 + 16 44 30
608 10 24 21 - 6 2 22
609 10 25 35 - 2 12 51
610 10 26 28 + 20 13 37
611 10 26 28 + 20 13 37
612 10 27 6 + 11 3 17
613 10 27 8 + 11 0 41
614 10 26 52 - 3 27 53
615 10 27 22 + 11 4 50
616 10 32 47 + 15 51 38
616 10 32 47 + 15 50 43
617 10 32 44 - 12 38 12
618 10 32 45 - 12 43 0
619 10 33 50 + 12 52 42
620 10 33 33 + 11 52 15
621 10 33 21 + 2 37 0
622 10 34 43 + 11 11 49
623 10 35 21 + 3 33 30
624 10 36 15 - 8 20 3
625 10 42 38 - 23 56 6
626 10 36 57 - 7 1 26
627 10 37 20 - 3 21 26
628 10 37 36 + 5 36 12
629 10 37 2 - 27 33 56
630 10 38 34 - 7 10 14
631 10 38 59 - 7 3 6
632 10 39 12 - 0 24 35
633 10 39 24 - 0 23 19
634 10 40 55 + 5 59 31
635 10 41 45 + 15 38 36
636 10 41 51 + 4 19 51
637 10 42 22 + 15 21 37
638 10 43 48 + 15 53 44
639 10 45 52 + 16 55 46
640 10 46 50 + 34 46 0
641 10 47 49 + 34 40 21
642 10 48 8 + 18 11 19
643 10 49 27 + 12 12 4
